"""n.uID""","""n.departmanName""","""n.departmanID""","""n.isManager""","""n.managerID""","""n.ustdepartmanID""","""n.isActive"""
40,"""IT Departmanı """,3099,false,3137,3094,1
1098,"""Biggplus Grup""",3092,true,3098,0,1
1103,"""Tasarım Departmanı""",3103,false,3119,3094,1
1149,"""Mali İşler Departmanı""",3162,true,3182,3093,1
1150,"""Mali İşler Departmanı""",3162,false,3182,3093,1
1151,"""Mali İşler Departmanı""",3162,true,3182,3093,1
1152,"""Mali İşler Departmanı""",3162,true,3182,3093,1
1154,"""On-Net A.Ş""",3095,false,3104,3092,1
1155,"""Saınalma&Ürün Yönetimi Departmanı""",3160,false,3172,3093,1
1156,"""Saınalma&Ürün Yönetimi Departmanı""",3160,false,3172,3093,1
1162,"""satış""",3294,true,3109,3095,2
1163,"""satış""",3294,false,3109,3095,1
1164,"""Mali İşler Departmanı""",3162,true,3098,3093,1
1166,"""Proje Departmanı""",3159,false,3165,3093,1
1167,"""IT Departmanı """,3099,true,3137,3094,2
1168,"""BTM A.Ş. Merkez """,3218,false,3221,3096,1
1169,"""Proje Departmanı""",3159,false,3165,3093,2
1170,"""IT Departmanı """,3099,true,3136,3094,2
1171,"""IT Departmanı """,3099,false,3137,3094,2
1172,"""IT Departmanı """,3099,false,3144,3094,1
1173,"""IT Departmanı """,3099,true,3302,3094,1
1174,"""B2C Departmanı""",3102,true,3113,3094,1
1175,"""B2C Departmanı""",3102,false,3114,3094,1
1176,"""Saınalma&Ürün Yönetimi Departmanı""",3160,true,3098,3093,2
1177,"""satış""",3294,true,3295,3095,2
1178,"""Lojistik Departmanı""",3163,true,3098,3093,1
1179,"""Tasarım Departmanı""",3103,true,3098,3094,1
1180,"""Sanal Mağaza A.Ş """,3093,true,3098,3092,2
1181,"""BTM Mağazalar""",3219,true,3098,3096,0
1182,"""B2C Departmanı""",3102,true,3098,3094,2
1183,"""On-Net A.Ş""",3095,true,3098,3092,1
1184,"""Biggplus Grup""",3092,true,3097,0,1
1185,"""Biggplus Grup""",3092,true,3151,0,1
1186,"""B2C Departmanı""",3102,false,3114,3094,1
1187,"""Sanal Mağaza A.Ş """,3093,false,3157,3092,2
1188,"""Sanal Mağaza A.Ş """,3093,true,3154,3092,2
1200,"""On-Net A.Ş""",3095,false,3105,3092,2
1201,"""On-Net A.Ş""",3095,false,3105,3092,2
1202,"""Sanal Mağaza A.Ş """,3093,false,3157,3092,2
1203,"""On-Net A.Ş""",3095,false,3105,3092,0
1204,"""On-Net A.Ş""",3095,true,3104,3092,1
1205,"""Bigglook&Biggtravel Departmanı""",3146,false,3147,3095,2
1212,"""Lojistik Departmanı""",3163,true,3205,3093,1
1213,"""Lojistik Departmanı""",3163,true,3192,3093,1
1214,"""Lojistik Departmanı""",3163,false,3209,3093,1
1215,"""Lojistik Departmanı""",3163,true,3194,3093,2
1216,"""Lojistik Departmanı""",3163,false,3198,3093,1
1217,"""Lojistik Departmanı""",3163,true,3195,3093,1
1218,"""Lojistik Departmanı""",3163,false,3205,3093,1
1219,"""Proje Departmanı""",3159,false,3165,3093,1
1220,"""Çağrı Merkezi Departmanı""",3161,false,3177,3093,1
1221,"""Çağrı Merkezi Departmanı""",3161,false,3177,3093,1
1223,"""Proje Departmanı""",3159,true,3164,3093,2
1224,"""Biggplus Grup""",3092,false,3151,0,2
1225,"""BTM A.Ş. Merkez """,3218,true,3220,3096,1
1226,"""Galata-1 Mağazası""",3226,false,3229,3219,2
1227,"""Galata-1 Mağazası""",3226,true,3225,3219,2
1229,"""Biggplus Grup""",3092,true,3085,0,1
1235,"""Saınalma&Ürün Yönetimi Departmanı""",3160,false,3172,3093,2
1238,"""Tasarım Departmanı""",3103,false,3119,3094,2
1239,"""On-Net A.Ş""",3095,false,3105,3092,2
1240,"""B2C Departmanı""",3102,false,3114,3094,2
1241,"""Tasarım Departmanı""",3103,false,3119,3094,2
1242,"""Lojistik Departmanı""",3163,false,3194,3093,1
1243,"""Lojistik Departmanı""",3163,false,3196,3093,1
1244,"""Lojistik Departmanı""",3163,true,3200,3093,1
1245,"""Lojistik Departmanı""",3163,true,3205,3093,1
